"new_ID","ID","Name","Sex","NOC"
89879,88857,"Alf Einar Olsen","M","NOR"
51130,50614,"Huang Huadong","M","CHN"
109825,108540,"Valentyna Oleksandrivna Valj Semerenko","F","UKR"
36157,35805,"Barbara Kay Fletcher (-Evans)","F","AUS"
51153,50637,"Huang Qiushuang","F","CHN"
63127,62434,"Kong Yingchao","F","CHN"
55910,55337,"Brandy K. Johnson (-Scharpf)","F","USA"
41008,40613,"Daniel Giubellini","M","SUI"
59091,58480,"Zoltn Kelemen","M","HUN"
23161,22923,"Bradford Paul Brad Cooper","M","AUS"
47549,47080,"Jnos Hder","M","HUN"
41437,41036,"Pavel Gofman","M","ISR"
14582,14423,"Anna Bozsik","F","HUN"
80520,79602,"Edvard Mikayelyan","M","URS"
28396,28132,"Jennifer Diachun (-Palmer)","F","CAN"
59069,58458,"Vladimr Kej","M","TCH"
56864,56284,"Rossana Juncos","F","ARG"
589,581,"Elisabeta Abrudeanu","F","ROU"
133703,132109,"Xu Zhiqiang","M","CHN"
80439,79523,"Georg Georges Miez","M","SUI"
60286,59640,"Michel Kiesgen","M","LUX"
121419,119971,"Arnold Sigfred Thomsen","M","DEN"
63799,63087,"Klaus Kste","M","GER"
87897,86891,"Hjrdis Margareta Nordin (-Hallquist)","F","SWE"
89460,88440,"Satoko Okazaki","F","JPN"
31837,31538,"Kameliya Eftimova","F","BUL"
75175,74319,"Maria Grazia Mancuso","F","ITA"
41696,41289,"Elena Gmez Servera","F","ESP"
75877,75010,"Arthur Nory Oyakawa Mariano","M","BRA"
103090,101910,"John Roethlisberger","M","USA"
45886,45428,"Han Gwang-Ho","M","KOR"
58815,58206,"Tokie Kawase","F","JPN"
56279,55703,"Marion Lois Jones (-Hunter, -Montgomery, -Thompson)","F","USA"
15720,15549,"Kelly Brown","F","CAN"
134669,133058,"Isao Yoneda","M","JPN"
70656,69842,"Andrey Sergeyevich Likhovitsky","M","BLR"
45036,44585,"Vanda Maria Hdrean","F","ROU"
128792,127243,"Giulia Volpi","F","ITA"
28615,28351,"Adalbert Dickhut","M","GER"
69617,68812,"Dmytro Maksymovych Leonkin","M","URS"
99688,98544,"Anant Ram","M","IND"
22746,22509,"Francesco Colombo","M","ITA"
12074,11943,"Marit Bjrgen","F","NOR"
249,244,"Raouf Abdelraouf","M","EGY"
52494,51957,"Im Hye-Jin","F","KOR"
105182,103975,"Aino-Kaisa Saarinen","F","FIN"
129153,127598,"Martin Vrblk","M","CZE"
9413,9315,"Carol Bed","M","ROU"
11265,11147,"Ina Beyermann","F","FRG"
120890,119452,"Marija Teak","F","YUG"
43977,43541,"Fabrice Guelzec","M","FRA"
79361,78459,"Elias Hijman Melkman","M","NED"
67553,66765,"Jean Larrouy","M","FRA"
47181,46716,"Erna Havelka (-Raenovi)","F","YUG"
81595,80654,"Koichi Mizushima","M","JPN"
61088,60439,"Pavla Kinclov","F","TCH"
135889,134259,"Lydia Zeitlhofer (-Pfann)","F","GER"
91805,90763,"Sascha Palgen","M","LUX"
94492,93429,"Rita Peri","F","ITA"
106784,105557,"Gabriella Santarelli","F","ITA"
121535,120087,"Ian James Thorpe","M","AUS"
1185,1173,"Yannick Agnel","M","FRA"
70341,69529,"Li Xiaoshuang","M","CHN"
43342,42918,"Rayna Ivanova Grigorova","F","BUL"
14620,14461,"Helga Andersen Braathen","F","NOR"
93202,92146,"Simona Puca (-Rus)","F","ROU"
54938,54372,"Gitta Poulsgaard Jensen","F","DEN"
30741,30451,"Pierre Georges Marie Charles Dufour d'Astafort","M","FRA"
134393,132791,"Lyubov Ivanovna Yegorova","F","RUS"
108750,107488,"Edeltraud Schramm (-Grossfurthner)","F","AUT"
17459,17263,"Barbara Anne Cage (-McCarthy)","F","AUS"
24442,24203,"Jorge Cuervo Rivero","M","CUB"
136077,134434,"Zhang Chengye","M","CHN"
38301,37928,"Philippe Gaille","M","SUI"
29491,29215,"Ivanka Peneva Dolzheva","F","BUL"
28956,28690,"Sergey Viktorovich Diomidov","M","URS"
19217,19016,"Mario Castro Martnez","M","CUB"
62196,61522,"Oksana Knizhnik","F","UKR"
132120,130533,"Elaine Willett","F","GBR"
15148,14983,"Andreas Bretschneider","M","GER"
73539,72706,"Valery Viktorovich Lyukin","M","URS"
18331,18133,"Jess Carballo Martnez","M","ESP"
90869,89842,"Elisabeth Ostermeyer (-Schmidt)","F","GER"
88501,87488,"Mauri Kalervo Nyberg-Noroma","M","FIN"
112620,111297,"Yelena Alekseyevna Sinkevich","F","BLR"
66797,66018,"Kalevi Johannes Laitinen","M","FIN"
70466,69653,"Einar Liberg","M","NOR"
123100,121622,"Hedwig Traindl","F","AUT"
32051,31749,"Carolina Eiras Rueda","F","ARG"
97455,96345,"Luisa Fernanda Portocarrero Daz","F","GUA"
2498,2476,"Ilian Vasiliev Aleksandrov","M","BUL"
47575,47106,"Chad Paul Hedrick","M","USA"
31537,31240,"Gertrd Emilia Eberle (-Kollar)","F","ROU"
73515,72682,"Tetiana Feliksivna Lysenko","F","EUN"
134697,133086,"Deyan Yordanov","M","BUL"
66469,65693,"Zandr Labuschagne","F","RSA"
88403,87390,"Paavo Johannes Nurmi","M","FIN"
41603,41201,"Anton Sergeyevich Golotsutskov","M","RUS"
59413,58798,"Andrei Kereke","M","ROU"
4155,4124,"Frode Andresen","M","NOR"
57330,56743,"Hiroshi Kajiyama","M","JPN"
93038,91982,"Elemr Pszti","M","HUN"
113216,111888,"Allana Amy Slater","F","AUS"
59560,58942,"Otto Jalmari Kestola","M","FIN"
97033,95934,"Aleksey Yuryevich Poltoranin","M","KAZ"
77240,76358,"Vesela Mateeva","F","BUL"
113198,111870,"Jan Sldek","M","TCH"
115199,113836,"Gnter Spies","M","FRG"
462,455,"Denis Mikhaylovich Ablyazin","M","RUS"
57207,56620,"Willi Kafel","M","AUT"
87251,86250,"Marharyta Mykolavna Nikolaieva (Petrova-)","F","URS"
128920,127370,"Isabella von Lospichl","F","FRG"
21831,21598,"Luigi Cimnaghi","M","ITA"
39332,38950,"Agnieszka Anna Gsienica-Daniel","F","POL"
83068,82118,"Sachiko Morimura","F","JPN"
11352,11233,"Adriana Biagiotti","F","ITA"
42677,42260,"Johanna Hanna Grages (Beth-, -Zuschneid)","F","GER"
96968,95871,"Silvia Poll Ahrens","F","CRC"
121780,120329,"Toivo Robert Tikkanen","M","FIN"
63707,62997,"Oleh Yuriyovych Kosiak","M","UKR"
33906,33582,"George Louis Eyser","M","USA"
64573,63842,"Charles Krause","M","USA"
79357,78456,"Ioannis Melissanidis","M","GRE"
66144,65376,"Anastasia Vladimirovna Kuzmina (Shipulina-)","F","SVK"
71259,70441,"Rubn Lira Aviles","M","MEX"
100069,98922,"Enrique Wilson Libertario Rapesta Fabregat","M","ARG"
105045,103841,"Ewa Margareta Rydell (-Orrensj)","F","SWE"
39996,39611,"Petar Dimitrov Georgiev","M","BUL"
28025,27762,"Andriy Vasylovych Deryzemlia","M","UKR"
59297,58682,"Rezs Kende","M","HUN"
72972,72144,"Sergio Luini","M","ITA"
85109,84138,"Nikita Vladimirovich Nagorny","M","RUS"
14046,13890,"Mikhail Botvinov","M","RUS"
29782,29505,"Dorjiin Norolkhoo","F","MGL"
132209,130622,"Kathleen Kathy Williams","F","GBR"
103095,101914,"William Henry Bill Roetzheim, Jr.","M","USA"
128806,127257,"Matthias Max Volz","M","GER"
66188,65417,"Yevgeniya Petrovna Kuznetsova","F","RUS"
54422,53861,"Karin Janz (-Bttner)","F","GDR"
14011,13856,"Anita Botnen (-Fisher)","F","CAN"
55853,55281,"Britta Johanna Helena Johansson-Norgren","F","SWE"
54267,53709,"Jan Wadysaw Jankowicz","M","POL"
79831,78927,"Gerald Eustace Merlin","M","GBR"
56028,55454,"Scott Philip Johnson","M","USA"
25238,24996,"Manuela Dalla Valle","F","ITA"
31087,30795,"Ginette Durand","F","FRA"
78355,77462,"Herbert Herb McDonald","M","CAN"
39133,38752,"Pauline Margrit Gardiner (-David)","F","NZL"
44046,43610,"Rubn Ernesto Guerrero","M","ESA"
47231,46765,"Frank Fred William Hawkins","M","GBR"
132546,130959,"Dominik Windisch","M","ITA"
75806,74940,"Kateina Mareov","F","CZE"
55246,54678,"David Jessen","M","CZE"
60098,59458,"Yovcho Khristov","M","BUL"
134014,132417,"Yan Tai-San","M","TPE"
15864,15691,"Lisa Brggemann","F","GER"
25180,24938,"Ahmed Dakkeli","M","UAR"
35507,35165,"Nancy Ingersoll Fiddler","F","USA"
52317,51781,"Petrus Gerardus Piet Ikelaar","M","NED"
125772,124251,"Karen Van de Graaf (-Ramsay)","F","AUS"
96239,95156,"Juan Jos Piro","M","HON"
40911,40517,"Jorge Hugo Giraldo Lpez","M","COL"
124787,123284,"Vegard Ulvang","M","NOR"
128646,127106,"Emil Alwell Voigt","M","USA"
128899,127349,"Johan Hbner von Holst","M","SWE"
36707,36351,"Klra Frstner","F","HUN"
19728,19524,"Kimberly Ann Chace (-Boyle, -May)","F","USA"
15362,15194,"Silvio Brivio","M","ITA"
54700,54136,"Petra Jebram (-Berchtold)","F","FRG"
120557,119122,"Georgia-Anastasia Tembou","F","GRE"
135662,134038,"Bizhan Zarnegar","M","IRI"
125677,124156,"Paul Van Asbroeck","M","BEL"
66744,65965,"Lai Chu-Long","M","TPE"
98539,97411,"Rosalinda Puente","F","MEX"
9142,9048,"Jean-Guillaume Batrix","M","FRA"
101505,100334,"Ri Hae-Yon","F","PRK"
90484,89460,"Frederick Charles Fred Orlofsky","M","USA"
22687,22450,"Frank Donald Don Collinge","M","CAN"
116033,114655,"Monica Stefani","F","ITA"
131489,129904,"Ulrike Weyh","F","FRG"
41953,41545,"Jorge Gonzlez","M","PUR"
37556,37192,"Hans Friedrich","M","AUT"
29967,29686,"Gabrielle Christina Victoria Gabby Douglas","F","USA"
51067,50551,"Hsu Yue-Yun","F","TPE"
2986,2959,"Lenke Almsi","F","HUN"
107709,106464,"Liliana Scaricabarozzi","F","ITA"
42122,41713,"Leo Joseph Budd Goodwin","M","USA"
76742,75868,"Francesco Martino","M","ITA"
40001,39616,"Stefan Asenov Georgiev","M","BUL"
79688,78784,"Konrd Mentsik","M","HUN"
87616,86612,"Chirine Njeim","F","LIB"
23236,22998,"Andrea Coppolino","M","ITA"
79411,78508,"Angelina Romanovna Melnikova","F","RUS"
100403,99252,"Mary Elise Ray","F","USA"
51824,51302,"Tetiana Kostiantynivna Hutsu","F","EUN"
118026,116610,"Bedich upk","M","TCH"
29504,29227,"Carola Dombeck","F","GDR"
24739,24499,"Agnieszka Cyl (Grzybek-)","F","POL"
90219,89196,"Henrietta nodi","F","HUN"
9851,9747,"Stefania Belmondo","F","ITA"
125857,124336,"Pieter Cornelis Martijn van den Hoogenband","M","NED"
51175,50659,"Huang Xu","M","CHN"
61534,60872,"Antal Kisteleki","M","HUN"
16599,16413,"Olga Bumbi","F","YUG"
110837,109536,"Shen Jianqiang","M","CHN"
45877,45419,"Han Chun-Ok","F","PRK"
95232,94156,"Alojz Petrovi","M","YUG"
33713,33389,"Hans Ettlin","M","SUI"
72640,71815,"Larissa Lowing (-Libby)","F","CAN"
82731,81782,"Ileana Morales","F","VEN"
77412,76529,"Helga Matschkur","F","FRG"
135783,134154,"Olga Alekseyevna Zaytseva (-Augustin)","F","RUS"
132528,130941,"Barry Winch","M","GBR"
70884,70070,"Karin Elisabet Lindberg (-Lindn)","F","SWE"
60489,59841,"Kim Dong-Hwa","M","KOR"
134482,132878,"Yernar Saparbekovich Yerimbetov","M","KAZ"
16239,16062,"Ralf Bchner","M","GER"
94218,93157,"Louis Percy","M","FRA"
32760,32441,"Meta Elste (Neumann-)","F","USA"
131839,130253,"Dorothea Wierer","F","ITA"
111786,110468,"Henrik Sillem","M","NED"
21688,21459,"Ivan Chureshki","M","BUL"
24323,24084,"Mnika Csszr","F","HUN"
49950,49447,"Inger Rose-Marie Holm (-Saxne)","F","SWE"
88751,87736,"Karin Oberhofer","F","ITA"
100012,98865,"Tsvetanka Rangelova","F","BUL"
23841,23603,"Johanna Jo Cox-Ladru (-Poot)","F","NED"
2688,2665,"Ahmed Khalaf Khalaf Ali","M","EGY"
125758,124237,"Cornelis Marinus van Dalen","M","NED"
137221,135549,"Nataliya Vasilyevna Zyatikova","F","BLR"
132873,131280,"Marit Elisabeth Wold-Mikkelsplass","F","NOR"
44078,43642,"Lamine Guye","M","SEN"
122053,120591,"Aleksandr Vasilyevich Tkachov","M","URS"
88983,87966,"Chieko Oda (-Tsukahara)","F","JPN"
33139,32816,"Tina Erceg","F","CRO"
21306,21083,"Choi Yeong-Suk","F","KOR"
19030,18829,"Gustav Casmir","M","GER"
125118,123605,"Michaela Ustorf","F","FRG"
68343,67545,"Paulette le Raer","F","FRA"
48959,48476,"Alphonse Higelin (Hglin-)","M","FRA"
132330,130743,"Jacquelene Willmott","F","GBR"
60104,59464,"Kalofer Petrov Khristozov","M","BUL"
59562,58944,"Scott A. Keswick","M","USA"
41635,41230,"Angela Golz","F","FRG"
94889,93820,"Bradley Brad Peters","M","CAN"
130246,128679,"Erich Wanner","M","SUI"
71786,70965,"Ryan Steven Lochte","M","USA"
117122,115717,"Jrmy Stravius","M","FRA"
3676,3645,"Nikolaos Nikos Anastasiadis","M","GRE"
36964,36606,"Sonia Fraguas Snchez","F","ESP"
124688,123186,"ukasz Uhma","M","POL"
642,634,"Paul Accola","M","SUI"
55982,55408,"Kathleen Ann Kathy Johnson (-Clarke)","F","USA"
69114,68312,"Beyene Legesse","M","ETH"
18409,18211,"Javier Careaga Taguea","M","MEX"
47467,46998,"Michael Steward Mike Heath","M","USA"
98246,97125,"Yelena Sergeyevna Produnova","F","RUS"
90732,89706,"Carl Townsend Osburn","M","USA"
58284,57687,"Vin Aleksander Karonen","M","FIN"
119007,117582,"Gusztv Szomjas","M","HUN"
43720,43290,"Yelena Aleksandrovna Grudneva","F","EUN"
71886,71065,"Robert Bob Loh","M","HKG"
72234,71410,"Luis Alberto Lpez Ghigliazza","M","MEX"
51229,50713,"Franois Joseph Huber (Hber-)","M","FRA"
41962,41554,"Jos Gonzlez","M","MEX"
33863,33539,"Bndicte Evrard","F","BEL"
110956,109653,"Valentyna Yevhenivna Shevchenko","F","UKR"
50636,50125,"Naomi Hoshikawa","F","JPN"
26563,26308,"Estela de la Torre Borja","F","MEX"
59232,58618,"Ferenc Kemny (Kollr)","M","HUN"
23107,22869,"Wendy Elizabeth Cook-Hogg","F","CAN"
123036,121558,"Sean Lanier Townsend","M","USA"
65295,64549,"Kyoko Kubota","F","JPN"
19551,19348,"Sorin Cepoi","M","ROU"
30909,30619,"Rodica Dunca (-Kszegi)","F","ROU"
29582,29305,"Darya Vladimirovna Domracheva","F","BLR"
41881,41474,"Andrs Gonzlez Navas","M","CUB"
88846,87829,"Lyuben Obretenov","M","BUL"
32871,32551,"Anne-Sophie Endeler","F","FRA"
104102,102907,"Curt Rottmann","M","USA"
95709,94629,"Sharon Tanya Pickering (-Smith)","F","FIJ"
19112,18911,"Irene Grazia Castelli","F","ITA"
124302,122806,"Judit Turczy (-Korach)","F","HUN"
73538,72705,"Tamara Alekseyevna Lyukhina-Zamotaylova","F","URS"
19027,18826,"Vra slavsk (-Odloilov)","F","TCH"
29633,29356,"Franco Doneg","M","ITA"
83767,82811,"Miloud M'Sellek","M","MAR"
61103,60453,"Vclav Kindl","M","TCH"
135434,133812,"Igor Valeryevich Zakurdayev","M","KAZ"
73689,72854,"Licia Macchini","F","ITA"
64441,63711,"Yekaterina Aleksandrovna Kramarenko","F","RUS"
96681,95591,"Yevgeny Anatolyevich Podgorny","M","RUS"
103534,102347,"Jos Andr Romersa","M","LUX"
114742,113385,"Leo Sotornk","M","TCH"
44509,44064,"Koji Gushiken","M","JPN"
62712,62028,"Kauri Kiv","M","EST"
83813,82857,"Istvn (Stefan) Mudin","M","HUN"
107929,106682,"Theodor Scheidl (-Petit)","M","AUT"
36197,35845,"Charlotta Ingrid Lotta Flink (-Saigeon)","F","HKG"
65162,64418,"Aleksandr Sergeyevich Kruzhilov","M","BLR"
53197,52652,"Damian Mark Istria","M","AUS"
123043,121565,"Kiichiro Toyama","M","JPN"
46656,46194,"Amanda Harrison (-Kirby)","F","GBR"
9213,9118,"Sylvie Becaert","F","FRA"
