new_ID,Game_ID,Event,Medal
678,25,Cycling Men's 100 kilometres Team Time Trial,Silver
681,28,Boxing Men's Featherweight,Bronze
682,0,Boxing Men's Bantamweight,Bronze
688,39,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
698,1,Rowing Women's Coxed Eights,Bronze
698,20,Rowing Women's Quadruple Sculls,Silver
705,2,"Gymnastics Men's Team All-Around, Swedish System",Gold
706,35,Hockey Men's Hockey,Gold
707,2,"Wrestling Men's Featherweight, Freestyle",Gold
710,8,Nordic Combined Men's Team,Silver
710,8,Nordic Combined Men's Sprint,Silver
710,18,Nordic Combined Men's Team,Silver
713,5,Bobsleigh Men's Two,Gold
713,5,Bobsleigh Men's Four,Bronze
713,6,Bobsleigh Men's Two,Gold
713,6,Bobsleigh Men's Four,Silver
714,6,Bobsleigh Men's Two,Silver
724,19,Football Men's Football,Gold
731,19,Boxing Men's Heavyweight,Bronze
735,9,Basketball Men's Basketball,Bronze
753,36,Boxing Men's Lightweight,Bronze
770,29,Rowing Men's Coxed Eights,Gold
774,35,Modern Pentathlon Men's Team,Silver
780,18,Curling Men's Curling,Gold
783,29,"Fencing Men's Foil, Team",Bronze
785,16,"Cycling Men's Team Pursuit, 4,000 metres",Gold
793,0,Football Men's Football,Silver
816,13,Athletics Men's Standing High Jump,Silver
816,13,Athletics Men's Standing Long Jump,Bronze
822,44,Swimming Men's Plunge For Distance,Silver
827,13,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold
839,36,Judo Men's Lightweight,Silver
839,25,Judo Men's Half-Middleweight,Silver
841,1,Boxing Women's Flyweight,Gold
841,20,Boxing Women's Flyweight,Gold
845,13,Athletics Men's Standing High Jump,Gold
845,13,Athletics Men's Standing Long Jump,Silver
846,20,Volleyball Women's Volleyball,Bronze
849,15,Curling Women's Curling,Bronze
855,19,Athletics Women's Shot Put,Gold
855,1,Athletics Women's Shot Put,Gold
855,20,Athletics Women's Shot Put,Silver
858,1,Rowing Men's Coxed Eights,Gold
859,29,Rowing Men's Coxed Pairs,Gold
860,33,Boxing Men's Featherweight,Silver
891,0,Football Men's Football,Bronze
893,2,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Bronze
906,19,Football Men's Football,Silver
918,19,Football Men's Football,Silver
928,25,Football Men's Football,Silver
928,28,Football Men's Football,Silver
933,0,Athletics Men's 4 x 100 metres Relay,Silver
935,1,Volleyball Women's Volleyball,Gold
963,0,"Canoeing Men's Canadian Doubles, Slalom",Bronze
963,12,"Canoeing Men's Canadian Doubles, Slalom",Gold
966,38,Bobsleigh Men's Two,Silver
967,0,Football Men's Football,Bronze
972,9,Boxing Men's Light-Welterweight,Gold
973,12,Athletics Men's 400 metres Hurdles,Gold
974,16,Hockey Men's Hockey,Silver
976,25,Sailing Mixed Three Person Keelboat,Silver
977,33,Cycling Men's 100 kilometres Team Time Trial,Silver
978,13,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
983,29,"Equestrianism Men's Dressage, Team",Bronze
984,13,"Equestrianism Men's Three-Day Event, Team",Gold
985,46,"Tennis Women's Singles, Covered Courts",Bronze
987,13,Diving Men's Platform,Gold
987,13,Diving Men's Plain High,Gold
987,2,Diving Men's Platform,Silver
990,19,Swimming Women's 400 metres Freestyle,Gold
990,19,Swimming Women's 800 metres Freestyle,Gold
990,1,Swimming Women's 400 metres Freestyle,Bronze
990,1,Swimming Women's 800 metres Freestyle,Bronze
1011,11,Basketball Men's Basketball,Bronze
1028,19,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1028,1,Swimming Men's 100 metres Freestyle,Gold
1028,1,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
1028,1,Swimming Men's 4 x 100 metres Medley Relay,Gold
1028,20,Swimming Men's 50 metres Freestyle,Bronze
1028,20,Swimming Men's 100 metres Freestyle,Bronze
1028,20,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1028,20,Swimming Men's 4 x 100 metres Medley Relay,Gold
1031,12,Basketball Women's Basketball,Silver
1031,11,Basketball Women's Basketball,Bronze
1034,11,Basketball Women's Basketball,Bronze
1036,12,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
1057,37,Rowing Men's Coxed Eights,Silver
1082,1,Gymnastics Women's Team All-Around,Silver
1096,8,Ice Hockey Men's Ice Hockey,Bronze
1099,12,Athletics Women's 4 x 400 metres Relay,Silver
1105,35,Rowing Women's Coxed Quadruple Sculls,Bronze
1106,20,Rugby Sevens Men's Rugby Sevens,Bronze
1115,37,Hockey Men's Hockey,Silver
1118,20,Rugby Sevens Men's Rugby Sevens,Bronze
1120,25,Gymnastics Women's Team All-Around,Gold
1120,25,Gymnastics Women's Horse Vault,Bronze
1125,21,Rowing Men's Coxless Fours,Bronze
1125,19,Rowing Men's Quadruple Sculls,Silver
1133,12,Tennis Men's Singles,Gold
1142,20,Judo Women's Half-Middleweight,Silver
1155,2,Sailing Mixed 6 metres,Bronze
1158,32,Water Polo Men's Water Polo,Bronze
1158,33,Water Polo Men's Water Polo,Silver
1158,37,Water Polo Men's Water Polo,Bronze
1181,19,Hockey Women's Hockey,Gold
1181,1,Hockey Women's Hockey,Gold
1185,1,Swimming Men's 200 metres Freestyle,Gold
1185,1,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1185,1,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
1193,18,Ice Hockey Women's Ice Hockey,Gold
1193,38,Ice Hockey Women's Ice Hockey,Gold
1193,15,Ice Hockey Women's Ice Hockey,Gold
1200,18,Figure Skating Mixed Ice Dancing,Silver
1203,37,"Fencing Women's Foil, Team",Gold
1204,34,"Fencing Men's epee, Team",Gold
1204,7,"Fencing Men's epee, Individual",Bronze
1204,7,"Fencing Men's epee, Team",Silver
1204,16,"Fencing Men's epee, Team",Silver
1213,29,Boxing Men's Lightweight,Bronze
1220,40,Rowing Men's 17-Man Naval Rowing Boats,Gold
1223,34,Gymnastics Women's Team All-Around,Gold
1232,19,Football Men's Football,Gold
1233,11,Volleyball Women's Volleyball,Gold
1262,36,Boxing Men's Light-Welterweight,Bronze
1267,1,Handball Women's Handball,Bronze
1275,20,Rhythmic Gymnastics Women's Group,Silver
1283,0,Athletics Men's 4 x 100 metres Relay,Bronze
1314,20,Weightlifting Women's Flyweight,Silver
1326,19,Volleyball Women's Volleyball,Silver
1335,41,Ice Hockey Men's Ice Hockey,Silver
1336,46,Athletics Men's Triple Jump,Gold
1346,7,Boxing Men's Welterweight,Bronze
1349,10,Ice Hockey Men's Ice Hockey,Bronze
1353,8,Ice Hockey Women's Ice Hockey,Bronze
1354,43,Curling Men's Curling,Silver
1355,24,Ice Hockey Men's Ice Hockey,Bronze
1359,14,"Wrestling Men's Bantamweight, Greco-Roman",Silver
1361,13,"Wrestling Men's Middleweight B, Greco-Roman",Silver
1363,16,Rowing Men's Coxed Eights,Gold
1369,21,"Equestrianism Mixed Jumping, Team",Bronze
1369,20,"Equestrianism Mixed Jumping, Team",Bronze
1372,7,Boxing Men's Lightweight,Silver
1377,9,Football Men's Football,Bronze
1387,20,Badminton Mixed Doubles,Gold
1391,16,Athletics Men's Triple Jump,Gold
1392,11,Beach Volleyball Men's Beach Volleyball,Bronze
1393,0,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
1393,0,Swimming Women's 100 metres Butterfly,Silver
1393,0,Swimming Women's 4 x 100 metres Medley Relay,Gold
1399,0,Hockey Men's Hockey,Bronze
1402,26,Hockey Men's Hockey,Gold
1404,33,Hockey Men's Hockey,Gold
1413,25,Hockey Men's Hockey,Gold
1415,0,Hockey Men's Hockey,Bronze
1421,25,Hockey Men's Hockey,Gold
1422,33,Hockey Men's Hockey,Gold
1425,26,Hockey Men's Hockey,Gold
1425,27,Hockey Men's Hockey,Silver
1427,0,Hockey Men's Hockey,Bronze
1437,13,Sailing Mixed 8 metres,Bronze
1448,8,"Ski Jumping Men's Large Hill, Team",Silver
1448,18,"Ski Jumping Men's Large Hill, Team",Silver
1455,37,Sailing Mixed Three Person Keelboat,Silver
1456,35,Rowing Women's Coxed Eights,Gold
1457,21,Rowing Men's Coxed Eights,Gold
1460,32,Athletics Women's Javelin Throw,Silver
1462,37,Rowing Men's Coxed Eights,Silver
1479,1,Water Polo Men's Water Polo,Silver
1479,20,Water Polo Men's Water Polo,Bronze
1480,11,Hockey Women's Hockey,Silver
1480,21,Hockey Women's Hockey,Bronze
1480,19,Hockey Women's Hockey,Bronze
1482,49,Bobsleigh Men's Four,Silver
1491,20,Water Polo Women's Water Polo,Silver
1493,14,Weightlifting Men's Heavyweight,Silver
1494,1,"Canoeing Men's Kayak Singles, Slalom",Bronze
1496,32,Gymnastics Men's Team All-Around,Silver
1496,32,Gymnastics Men's Floor Exercise,Silver
1496,33,Gymnastics Men's Team All-Around,Gold
1496,33,Gymnastics Men's Floor Exercise,Gold
1498,0,Gymnastics Men's Team All-Around,Bronze
1500,21,Baseball Men's Baseball,Bronze
1502,32,Rowing Men's Coxed Eights,Bronze
1511,12,Sailing Mixed One Person Dinghy,Silver
1511,11,Sailing Mixed One Person Dinghy,Gold
1511,21,Sailing Men's One Person Dinghy,Gold
1511,19,Sailing Mixed One Person Dinghy,Gold
1511,1,Sailing Men's One Person Heavyweight Dinghy,Gold
1513,11,Baseball Men's Baseball,Gold
1516,2,Athletics Men's 4 x 400 metres Relay,Gold
1525,26,Sailing Mixed 5.5 metres,Bronze
1544,29,Basketball Men's Basketball,Silver
1545,13,"Tennis Mixed Doubles, Covered Courts",Silver
1548,0,"Cycling Men's Team Pursuit, 4,000 metres",Silver
1548,12,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
1548,11,Cycling Men's Madison,Gold
1552,3,Rugby Men's Rugby,Gold
1554,19,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
1560,11,Rhythmic Gymnastics Women's Group,Bronze
1565,20,Football Men's Football,Bronze
1568,0,Baseball Men's Baseball,Gold
1568,12,Baseball Men's Baseball,Gold
1568,11,Baseball Men's Baseball,Silver
1570,19,Football Men's Football,Silver
1575,20,Athletics Men's 4 x 100 metres Relay,Bronze
1578,12,Athletics Women's Long Jump,Gold
1584,25,Athletics Men's 4 x 400 metres Relay,Silver
1584,0,Athletics Men's 400 metres Hurdles,Bronze
1584,0,Athletics Men's 4 x 400 metres Relay,Bronze
1589,25,"Wrestling Men's Featherweight, Freestyle",Silver
1589,0,"Wrestling Men's Lightweight, Freestyle",Bronze
1594,16,"Wrestling Men's Bantamweight, Freestyle",Gold
1596,5,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze
1610,32,"Wrestling Men's Flyweight, Freestyle",Bronze
1610,37,"Wrestling Men's Bantamweight, Freestyle",Silver
1616,27,"Wrestling Men's Featherweight, Freestyle",Silver
1633,16,"Canoeing Men's Kayak Doubles, 10,000 metres",Gold
1633,9,"Canoeing Men's Kayak Doubles, 10,000 metres",Silver
1634,7,Sailing Mixed 6 metres,Gold
1637,12,Football Women's Football,Gold
1649,20,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
1652,36,Volleyball Women's Volleyball,Gold
1654,17,Biathlon Women's 4 x 7.5 kilometres Relay,Silver
1654,8,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze
1654,18,Biathlon Women's 10 kilometres Pursuit,Bronze
1654,18,Biathlon Women's 15 kilometres,Bronze
1654,18,Biathlon Women's 4 x 6 kilometres Relay,Gold
1662,20,Boxing Men's Bantamweight,Bronze
1664,20,"Fencing Men's Foil, Team",Gold
1665,19,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
1667,37,"Wrestling Men's Heavyweight, Freestyle",Silver
1669,36,Hockey Women's Hockey,Bronze
1675,33,Rowing Men's Coxless Fours,Bronze
1678,26,Hockey Men's Hockey,Gold
1681,25,Hockey Men's Hockey,Gold
1689,27,Athletics Men's 400 metres Hurdles,Gold
1692,27,Water Polo Men's Water Polo,Gold
1694,36,Water Polo Men's Water Polo,Gold
1698,20,Athletics Women's 4 x 100 metres Relay,Gold
1699,1,Volleyball Women's Volleyball,Silver
1699,20,Volleyball Women's Volleyball,Bronze
1714,21,Weightlifting Men's Middle-Heavyweight,Silver
1714,19,Weightlifting Men's Middle-Heavyweight,Bronze
1716,11,Water Polo Women's Water Polo,Bronze
1729,0,Weightlifting Men's Heavyweight II,Silver
1732,20,Football Men's Football,Bronze
1746,20,"Fencing Women's Sabre, Team",Bronze
1748,35,Athletics Women's 4 x 400 metres Relay,Bronze
